onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	18	1	6	288	12
16	4	0	0	2	1	1	168	2
22	4	0	0	6	1	5	264	10
34	4	0	0	15	1	4	240	7
40	4	0	0	10	2	9	48	18
52	4	0	0	16	1	4	240	8
58	4	0	0	1	1	1	168	1
64	4	0	0	22	2	10	72	20
70	4	0	0	13	1	2	192	3
76	4	0	0	14	1	2	192	4
82	4	0	0	23	2	12	120	23
88	4	0	0	19	2	8	24	15
94	4	0	0	11	2	11	96	21
106	4	0	0	17	1	6	288	11
112	4	0	0	7	2	7	360	13
118	4	0	0	9	2	9	48	17
124	4	0	0	3	1	3	216	5
136	4	0	0	12	2	11	96	22
142	4	0	0	8	2	7	360	14
148	4	0	0	4	1	3	216	6
154	4	0	0	21	2	10	72	19
160	4	0	0	20	2	8	24	16
166	4	0	0	5	1	5	264	9
172	4	0	0	24	2	12	120	24
178	4	0	0	18	1	6	288	12
184	4	0	0	15	1	4	240	7
190	4	0	0	12	2	11	96	22
196	4	0	0	20	2	8	24	16
202	4	0	0	8	2	7	360	14
214	4	0	0	17	1	6	288	11
220	4	0	0	11	2	11	96	21
232	4	0	0	7	2	7	360	13
238	4	0	0	1	1	1	168	1
250	4	0	0	10	2	9	48	18
256	4	0	0	23	2	12	120	23
268	4	0	0	4	1	3	216	6
274	4	0	0	6	1	5	264	10
280	4	0	0	9	2	9	48	17
286	4	0	0	21	2	10	72	19
292	4	0	0	14	1	2	192	4
304	4	0	0	13	1	2	192	3
316	4	0	0	24	2	12	120	24
328	4	0	0	3	1	3	216	5
334	4	0	0	2	1	1	168	2
340	4	0	0	16	1	4	240	8
346	4	0	0	22	2	10	72	20
352	4	0	0	5	1	5	264	9
364	4	0	0	19	2	8	24	15
