onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	17	1	6	216	11
18	2	0	0	6	1	5	192	10
26	2	0	0	4	1	3	144	6
30	2	0	0	9	2	9	336	17
34	2	0	0	22	2	10	360	20
38	2	0	0	1	1	1	96	1
42	2	0	0	24	2	12	48	24
46	2	0	0	2	1	1	96	2
54	2	0	0	18	1	6	216	12
58	2	0	0	3	1	3	144	5
66	2	0	0	10	2	9	336	18
70	2	0	0	21	2	10	360	19
74	2	0	0	20	2	8	312	16
82	2	0	0	13	1	2	120	3
90	2	0	0	16	1	4	168	8
94	2	0	0	11	2	11	24	21
98	2	0	0	12	2	11	24	22
102	2	0	0	5	1	5	192	9
106	2	0	0	14	1	2	120	4
114	2	0	0	15	1	4	168	7
118	2	0	0	19	2	8	312	15
122	2	0	0	23	2	12	48	23
126	2	0	0	8	2	7	288	14
130	2	0	0	7	2	7	288	13
134	2	0	0	5	1	5	192	9
138	2	0	0	22	2	10	360	20
146	2	0	0	3	1	3	144	5
150	2	0	0	10	2	9	336	18
154	2	0	0	19	2	8	312	15
158	2	0	0	17	1	6	216	11
162	2	0	0	16	1	4	168	8
166	2	0	0	9	2	9	336	17
170	2	0	0	12	2	11	24	22
174	2	0	0	1	1	1	96	1
182	2	0	0	11	2	11	24	21
186	2	0	0	23	2	12	48	23
190	2	0	0	8	2	7	288	14
194	2	0	0	4	1	3	144	6
198	2	0	0	14	1	2	120	4
202	2	0	0	21	2	10	360	19
210	2	0	0	7	2	7	288	13
214	2	0	0	24	2	12	48	24
222	2	0	0	2	1	1	96	2
226	2	0	0	15	1	4	168	7
230	2	0	0	6	1	5	192	10
238	2	0	0	20	2	8	312	16
242	2	0	0	18	1	6	216	12
246	2	0	0	13	1	2	120	3
