onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	17	1	6	24	11
16	4	0	0	21	2	10	168	19
28	4	0	0	13	1	2	288	3
34	4	0	0	11	2	11	192	21
40	4	0	0	10	2	9	144	18
52	4	0	0	24	2	12	216	24
58	4	0	0	4	1	3	312	6
64	4	0	0	16	1	4	336	8
70	4	0	0	9	2	9	144	17
76	4	0	0	12	2	11	192	22
82	4	0	0	8	2	7	96	14
94	4	0	0	18	1	6	24	12
100	4	0	0	15	1	4	336	7
106	4	0	0	19	2	8	120	15
118	4	0	0	3	1	3	312	5
124	4	0	0	1	1	1	264	1
130	4	0	0	20	2	8	120	16
136	4	0	0	22	2	10	168	20
142	4	0	0	7	2	7	96	13
148	4	0	0	6	1	5	360	10
154	4	0	0	23	2	12	216	23
160	4	0	0	14	1	2	288	4
172	4	0	0	2	1	1	264	2
178	4	0	0	5	1	5	360	9
184	4	0	0	16	1	4	336	8
190	4	0	0	24	2	12	216	24
196	4	0	0	8	2	7	96	14
202	4	0	0	12	2	11	192	22
214	4	0	0	21	2	10	168	19
220	4	0	0	23	2	12	216	23
226	4	0	0	17	1	6	24	11
238	4	0	0	1	1	1	264	1
244	4	0	0	6	1	5	360	10
250	4	0	0	19	2	8	120	15
262	4	0	0	18	1	6	24	12
268	4	0	0	14	1	2	288	4
280	4	0	0	22	2	10	168	20
286	4	0	0	11	2	11	192	21
292	4	0	0	2	1	1	264	2
298	4	0	0	13	1	2	288	3
304	4	0	0	4	1	3	312	6
316	4	0	0	9	2	9	144	17
328	4	0	0	7	2	7	96	13
334	4	0	0	15	1	4	336	7
340	4	0	0	10	2	9	144	18
352	4	0	0	3	1	3	312	5
358	4	0	0	20	2	8	120	16
364	4	0	0	5	1	5	360	9
