onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	2	1	1	24	2
14	2	0	0	10	2	9	264	18
22	2	0	0	18	1	6	144	12
26	2	0	0	20	2	8	240	16
30	2	0	0	17	1	6	144	11
34	2	0	0	4	1	3	72	6
42	2	0	0	21	2	10	288	19
46	2	0	0	9	2	9	264	17
50	2	0	0	19	2	8	240	15
54	2	0	0	15	1	4	96	7
62	2	0	0	23	2	12	336	23
70	2	0	0	6	1	5	120	10
74	2	0	0	5	1	5	120	9
78	2	0	0	13	1	2	48	3
86	2	0	0	22	2	10	288	20
90	2	0	0	24	2	12	336	24
94	2	0	0	14	1	2	48	4
98	2	0	0	1	1	1	24	1
102	2	0	0	8	2	7	216	14
110	2	0	0	11	2	11	312	21
114	2	0	0	7	2	7	216	13
118	2	0	0	3	1	3	72	5
126	2	0	0	16	1	4	96	8
130	2	0	0	12	2	11	312	22
134	2	0	0	15	1	4	96	7
138	2	0	0	2	1	1	24	2
146	2	0	0	12	2	11	312	22
154	2	0	0	11	2	11	312	21
158	2	0	0	23	2	12	336	23
162	2	0	0	4	1	3	72	6
166	2	0	0	1	1	1	24	1
170	2	0	0	17	1	6	144	11
178	2	0	0	21	2	10	288	19
182	2	0	0	7	2	7	216	13
186	2	0	0	20	2	8	240	16
190	2	0	0	9	2	9	264	17
194	2	0	0	8	2	7	216	14
202	2	0	0	19	2	8	240	15
206	2	0	0	10	2	9	264	18
210	2	0	0	5	1	5	120	9
214	2	0	0	18	1	6	144	12
218	2	0	0	22	2	10	288	20
222	2	0	0	16	1	4	96	8
226	2	0	0	24	2	12	336	24
230	2	0	0	14	1	2	48	4
238	2	0	0	3	1	3	72	5
242	2	0	0	13	1	2	48	3
246	2	0	0	6	1	5	120	10
