onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	1	1	1	96	1
22	4	0	0	5	1	5	192	9
34	4	0	0	19	2	8	312	15
40	4	0	0	18	1	6	216	12
46	4	0	0	24	2	12	48	24
52	4	0	0	9	2	9	336	17
58	4	0	0	11	2	11	24	21
64	4	0	0	4	1	3	144	6
70	4	0	0	23	2	12	48	23
76	4	0	0	20	2	8	312	16
82	4	0	0	15	1	4	168	7
88	4	0	0	22	2	10	360	20
94	4	0	0	7	2	7	288	13
100	4	0	0	8	2	7	288	14
106	4	0	0	21	2	10	360	19
112	4	0	0	16	1	4	168	8
118	4	0	0	2	1	1	96	2
130	4	0	0	10	2	9	336	18
142	4	0	0	17	1	6	216	11
154	4	0	0	14	1	2	120	4
166	4	0	0	12	2	11	24	22
172	4	0	0	13	1	2	120	3
184	4	0	0	3	1	3	144	5
196	4	0	0	6	1	5	192	10
202	4	0	0	7	2	7	288	13
208	4	0	0	20	2	8	312	16
214	4	0	0	19	2	8	312	15
220	4	0	0	16	1	4	168	8
226	4	0	0	6	1	5	192	10
238	4	0	0	12	2	11	24	22
244	4	0	0	17	1	6	216	11
256	4	0	0	2	1	1	96	2
262	4	0	0	1	1	1	96	1
274	4	0	0	10	2	9	336	18
280	4	0	0	15	1	4	168	7
286	4	0	0	24	2	12	48	24
292	4	0	0	18	1	6	216	12
298	4	0	0	8	2	7	288	14
304	4	0	0	21	2	10	360	19
310	4	0	0	4	1	3	144	6
316	4	0	0	13	1	2	120	3
322	4	0	0	3	1	3	144	5
328	4	0	0	9	2	9	336	17
340	4	0	0	22	2	10	360	20
346	4	0	0	14	1	2	120	4
352	4	0	0	23	2	12	48	23
358	4	0	0	11	2	11	24	21
364	4	0	0	5	1	5	192	9
