onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	2	1	1	264	2
16	4	0	0	22	2	10	168	20
22	4	0	0	19	2	8	120	15
28	4	0	0	21	2	10	168	19
34	4	0	0	7	2	7	96	13
40	4	0	0	20	2	8	120	16
52	4	0	0	10	2	9	144	18
58	4	0	0	6	1	5	360	10
64	4	0	0	23	2	12	216	23
76	4	0	0	13	1	2	288	3
82	4	0	0	11	2	11	192	21
88	4	0	0	4	1	3	312	6
94	4	0	0	15	1	4	336	7
100	4	0	0	16	1	4	336	8
112	4	0	0	9	2	9	144	17
118	4	0	0	8	2	7	96	14
124	4	0	0	17	1	6	24	11
130	4	0	0	24	2	12	216	24
142	4	0	0	1	1	1	264	1
148	4	0	0	12	2	11	192	22
160	4	0	0	5	1	5	360	9
172	4	0	0	18	1	6	24	12
178	4	0	0	14	1	2	288	4
184	4	0	0	3	1	3	312	5
190	4	0	0	3	1	3	312	5
196	4	0	0	21	2	10	168	19
202	4	0	0	20	2	8	120	16
208	4	0	0	17	1	6	24	11
220	4	0	0	10	2	9	144	18
226	4	0	0	23	2	12	216	23
232	4	0	0	15	1	4	336	7
238	4	0	0	16	1	4	336	8
244	4	0	0	24	2	12	216	24
250	4	0	0	13	1	2	288	3
256	4	0	0	18	1	6	24	12
262	4	0	0	5	1	5	360	9
274	4	0	0	2	1	1	264	2
280	4	0	0	7	2	7	96	13
286	4	0	0	6	1	5	360	10
292	4	0	0	8	2	7	96	14
298	4	0	0	22	2	10	168	20
310	4	0	0	1	1	1	264	1
316	4	0	0	14	1	2	288	4
328	4	0	0	11	2	11	192	21
334	4	0	0	19	2	8	120	15
340	4	0	0	12	2	11	192	22
352	4	0	0	4	1	3	312	6
364	4	0	0	9	2	9	144	17
