onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	3	1	3	312	5
16	4	0	0	14	1	2	288	4
22	4	0	0	18	1	6	24	12
34	4	0	0	12	2	11	192	22
40	4	0	0	10	2	9	144	18
46	4	0	0	24	2	12	216	24
52	4	0	0	7	2	7	96	13
58	4	0	0	23	2	12	216	23
64	4	0	0	2	1	1	264	2
70	4	0	0	5	1	5	360	9
76	4	0	0	8	2	7	96	14
82	4	0	0	21	2	10	168	19
88	4	0	0	9	2	9	144	17
94	4	0	0	6	1	5	360	10
100	4	0	0	13	1	2	288	3
112	4	0	0	22	2	10	168	20
118	4	0	0	16	1	4	336	8
130	4	0	0	11	2	11	192	21
136	4	0	0	17	1	6	24	11
142	4	0	0	19	2	8	120	15
148	4	0	0	1	1	1	264	1
160	4	0	0	20	2	8	120	16
166	4	0	0	4	1	3	312	6
172	4	0	0	15	1	4	336	7
178	4	0	0	19	2	8	120	15
184	4	0	0	22	2	10	168	20
190	4	0	0	3	1	3	312	5
196	4	0	0	5	1	5	360	9
208	4	0	0	7	2	7	96	13
220	4	0	0	13	1	2	288	3
226	4	0	0	1	1	1	264	1
232	4	0	0	23	2	12	216	23
244	4	0	0	4	1	3	312	6
256	4	0	0	10	2	9	144	18
262	4	0	0	16	1	4	336	8
268	4	0	0	20	2	8	120	16
274	4	0	0	15	1	4	336	7
286	4	0	0	21	2	10	168	19
292	4	0	0	18	1	6	24	12
304	4	0	0	24	2	12	216	24
310	4	0	0	2	1	1	264	2
316	4	0	0	9	2	9	144	17
322	4	0	0	17	1	6	24	11
328	4	0	0	6	1	5	360	10
340	4	0	0	12	2	11	192	22
346	4	0	0	8	2	7	96	14
352	4	0	0	11	2	11	192	21
364	4	0	0	14	1	2	288	4
