onset	duration	response	response_time	obj	group	pair	color	item
10	2	0	0	2	1	1	336	2
14	2	0	0	23	2	12	288	23
22	2	0	0	20	2	8	192	16
26	2	0	0	12	2	11	264	22
34	2	0	0	1	1	1	336	1
38	2	0	0	21	2	10	240	19
42	2	0	0	13	1	2	360	3
46	2	0	0	17	1	6	96	11
50	2	0	0	4	1	3	24	6
54	2	0	0	24	2	12	288	24
62	2	0	0	15	1	4	48	7
66	2	0	0	9	2	9	216	17
70	2	0	0	19	2	8	192	15
78	2	0	0	8	2	7	168	14
82	2	0	0	16	1	4	48	8
86	2	0	0	7	2	7	168	13
90	2	0	0	22	2	10	240	20
98	2	0	0	6	1	5	72	10
102	2	0	0	5	1	5	72	9
106	2	0	0	3	1	3	24	5
110	2	0	0	18	1	6	96	12
114	2	0	0	11	2	11	264	21
118	2	0	0	14	1	2	360	4
122	2	0	0	10	2	9	216	18
126	2	0	0	19	2	8	192	15
134	2	0	0	3	1	3	24	5
138	2	0	0	4	1	3	24	6
142	2	0	0	18	1	6	96	12
146	2	0	0	16	1	4	48	8
150	2	0	0	1	1	1	336	1
154	2	0	0	8	2	7	168	14
162	2	0	0	7	2	7	168	13
166	2	0	0	2	1	1	336	2
170	2	0	0	17	1	6	96	11
178	2	0	0	5	1	5	72	9
186	2	0	0	9	2	9	216	17
194	2	0	0	6	1	5	72	10
198	2	0	0	12	2	11	264	22
202	2	0	0	24	2	12	288	24
206	2	0	0	10	2	9	216	18
210	2	0	0	11	2	11	264	21
214	2	0	0	20	2	8	192	16
222	2	0	0	23	2	12	288	23
230	2	0	0	14	1	2	360	4
234	2	0	0	21	2	10	240	19
238	2	0	0	22	2	10	240	20
242	2	0	0	13	1	2	360	3
246	2	0	0	15	1	4	48	7
