onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	11	2	11	48	21
22	4	0	0	23	2	12	72	23
28	4	0	0	6	1	5	216	10
34	4	0	0	3	1	3	168	5
46	4	0	0	16	1	4	192	8
52	4	0	0	20	2	8	336	16
58	4	0	0	24	2	12	72	24
64	4	0	0	5	1	5	216	9
70	4	0	0	17	1	6	240	11
76	4	0	0	4	1	3	168	6
82	4	0	0	18	1	6	240	12
94	4	0	0	7	2	7	312	13
100	4	0	0	19	2	8	336	15
106	4	0	0	14	1	2	144	4
118	4	0	0	10	2	9	360	18
124	4	0	0	15	1	4	192	7
136	4	0	0	22	2	10	24	20
142	4	0	0	9	2	9	360	17
148	4	0	0	12	2	11	48	22
154	4	0	0	8	2	7	312	14
160	4	0	0	21	2	10	24	19
166	4	0	0	2	1	1	120	2
178	4	0	0	1	1	1	120	1
184	4	0	0	13	1	2	144	3
196	4	0	0	20	2	8	336	16
208	4	0	0	23	2	12	72	23
214	4	0	0	5	1	5	216	9
220	4	0	0	9	2	9	360	17
226	4	0	0	3	1	3	168	5
232	4	0	0	10	2	9	360	18
244	4	0	0	7	2	7	312	13
250	4	0	0	4	1	3	168	6
256	4	0	0	1	1	1	120	1
268	4	0	0	24	2	12	72	24
274	4	0	0	21	2	10	24	19
280	4	0	0	15	1	4	192	7
292	4	0	0	12	2	11	48	22
298	4	0	0	17	1	6	240	11
304	4	0	0	16	1	4	192	8
310	4	0	0	11	2	11	48	21
322	4	0	0	8	2	7	312	14
328	4	0	0	14	1	2	144	4
334	4	0	0	18	1	6	240	12
340	4	0	0	2	1	1	120	2
346	4	0	0	19	2	8	336	15
352	4	0	0	6	1	5	216	10
358	4	0	0	22	2	10	24	20
364	4	0	0	13	1	2	144	3
