onset	duration	response	response_time	obj	group	pair	color	item
10	4	0	0	14	1	2	288	4
16	4	0	0	16	1	4	336	8
22	4	0	0	2	1	1	264	2
28	4	0	0	12	2	11	192	22
34	4	0	0	3	1	3	312	5
40	4	0	0	20	2	8	120	16
52	4	0	0	17	1	6	24	11
58	4	0	0	8	2	7	96	14
64	4	0	0	9	2	9	144	17
70	4	0	0	23	2	12	216	23
76	4	0	0	21	2	10	168	19
82	4	0	0	11	2	11	192	21
94	4	0	0	10	2	9	144	18
100	4	0	0	4	1	3	312	6
106	4	0	0	13	1	2	288	3
112	4	0	0	7	2	7	96	13
118	4	0	0	15	1	4	336	7
130	4	0	0	5	1	5	360	9
142	4	0	0	18	1	6	24	12
148	4	0	0	1	1	1	264	1
160	4	0	0	6	1	5	360	10
166	4	0	0	19	2	8	120	15
172	4	0	0	24	2	12	216	24
178	4	0	0	22	2	10	168	20
184	4	0	0	20	2	8	120	16
190	4	0	0	16	1	4	336	8
202	4	0	0	2	1	1	264	2
208	4	0	0	19	2	8	120	15
214	4	0	0	22	2	10	168	20
220	4	0	0	7	2	7	96	13
232	4	0	0	10	2	9	144	18
238	4	0	0	11	2	11	192	21
244	4	0	0	5	1	5	360	9
256	4	0	0	6	1	5	360	10
262	4	0	0	15	1	4	336	7
274	4	0	0	17	1	6	24	11
286	4	0	0	1	1	1	264	1
292	4	0	0	23	2	12	216	23
298	4	0	0	12	2	11	192	22
304	4	0	0	18	1	6	24	12
310	4	0	0	21	2	10	168	19
316	4	0	0	8	2	7	96	14
322	4	0	0	3	1	3	312	5
328	4	0	0	9	2	9	144	17
340	4	0	0	24	2	12	216	24
352	4	0	0	14	1	2	288	4
358	4	0	0	4	1	3	312	6
364	4	0	0	13	1	2	288	3
